epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3257.47,0.35103,5.43948,1.07116,0.0034,0.02605,0.00062,9e-05,3.7487,70.2132,8.77158,0.00331066,0.00331066,0.0702041
2,3414.55,0.34404,4.46564,1.05097,0.03546,0.12657,0.01191,0.00248,3.46189,55.5646,5.85143,0.00662175,0.00662175,0.0401818
3,3579.61,0.30726,4.09814,1.0183,0.26074,0.50535,0.29924,0.24235,0.71732,7.82905,1.07018,0.0098442,0.0098442,0.010071
4,3745.11,0.28413,3.85174,1.00228,0.53343,0.25276,0.17284,0.09217,1.56326,14.1465,2.03516,0.00970148,0.00970148,0.00970148
5,3909.75,0.24792,3.55828,0.98177,0.15022,0.53423,0.19812,0.12321,0.98622,11.8635,1.19215,0.00947348,0.00947348,0.00947348
6,4074.69,0.21279,3.39275,0.96186,0.76299,0.40565,0.46656,0.38083,0.62492,6.08927,0.7488,0.00918566,0.00918566,0.00918566
7,4242.38,0.19514,3.23909,0.95141,0.55448,0.70154,0.61512,0.57448,0.58864,4.42018,0.78734,0.00884192,0.00884192,0.00884192
8,4408.3,0.18305,3.1687,0.94336,0.30061,0.83634,0.38427,0.34373,0.54264,9.92603,0.79706,0.0084469,0.0084469,0.0084469
9,4574.46,0.17836,3.06031,0.93703,0.44572,0.65646,0.56173,0.32285,1.1601,6.42842,0.83309,0.00800594,0.00800594,0.00800594
10,4742.45,0.16977,2.98294,0.93356,0.6262,0.68,0.63506,0.54403,0.57605,4.13629,0.78248,0.007525,0.007525,0.007525
11,4909.46,0.15856,2.92504,0.92522,0.33884,0.5557,0.42247,0.34323,0.62468,7.67511,0.76242,0.00701059,0.00701059,0.00701059
12,5073.67,0.14914,2.81259,0.9211,0.68334,0.74758,0.6741,0.63223,0.48425,3.74068,0.52428,0.00646968,0.00646968,0.00646968
13,5235.48,0.16051,2.64202,0.95062,0.50583,0.71823,0.60716,0.55243,0.45842,3.83945,0.71165,0.00590956,0.00590956,0.00590956
14,5386.7,0.12593,2.39042,0.92757,0.61288,0.75883,0.68581,0.65202,0.348,3.54048,0.50723,0.00533782,0.00533782,0.00533782
15,5540.44,0.10304,2.18895,0.94335,0.61038,0.56495,0.69064,0.68055,0.33063,4.81905,0.46489,0.00476218,0.00476218,0.00476218
16,5692.71,0.09684,2.08344,0.94613,0.69156,0.76174,0.73617,0.72676,0.32778,3.11886,0.44222,0.00419044,0.00419044,0.00419044
17,5846.93,0.09704,1.99127,0.94563,0.7074,0.68646,0.71488,0.68599,0.3227,4.29969,0.42758,0.00363032,0.00363032,0.00363032
18,6004.74,0.09025,1.88795,0.94139,0.72211,0.74571,0.72473,0.71229,0.32688,3.37901,0.44385,0.00308941,0.00308941,0.00308941
19,6164.81,0.0895,1.82671,0.94158,0.78417,0.77341,0.77144,0.71492,0.42743,2.91081,0.58734,0.002575,0.002575,0.002575
20,6319.94,0.0784,1.69098,0.9333,0.80783,0.77324,0.77986,0.77979,0.32567,2.77508,0.45031,0.00209406,0.00209406,0.00209406
21,6474.47,0.07667,1.60571,0.93594,0.76794,0.7777,0.77849,0.77308,0.30094,2.83675,0.41525,0.0016531,0.0016531,0.0016531
22,6628.87,0.06898,1.51175,0.93252,0.80037,0.77524,0.78687,0.77254,0.33027,2.64613,0.45535,0.00125808,0.00125808,0.00125808
23,6787.12,0.06909,1.51433,0.9297,0.8608,0.74467,0.79269,0.7901,0.30443,2.72765,0.41685,0.000914335,0.000914335,0.000914335
24,6940.68,0.06808,1.45565,0.93108,0.7984,0.79871,0.79486,0.792,0.29935,2.7398,0.40638,0.000626518,0.000626518,0.000626518
25,7094.84,0.06929,1.47693,0.93164,0.79417,0.78718,0.79215,0.78593,0.32397,2.70223,0.44442,0.000398522,0.000398522,0.000398522
26,7254,0.06366,1.415,0.92954,0.80624,0.7921,0.79726,0.79069,0.32345,2.6541,0.44294,0.000233428,0.000233428,0.000233428
27,7411.37,0.06186,1.40421,0.92726,0.86068,0.754,0.79539,0.78835,0.32485,2.61645,0.44391,0.00013347,0.00013347,0.00013347
