epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2297.1,0.36652,5.28816,1.08003,0.37585,0.72191,0.43883,0.37909,0.51793,5.5822,0.99451,0.00332606,0.00332606,0.0700655
2,2486.09,0.32209,4.62718,1.04059,0.17223,0.58515,0.19793,0.08633,1.17572,11.7166,1.67615,0.0066371,0.0066371,0.0400432
3,2676.42,0.28742,4.33949,1.01386,0.32345,0.73563,0.50564,0.38028,0.7287,5.59333,1.04552,0.00985939,0.00985939,0.00993217
4,2866.1,0.25959,4.14802,0.99013,0.4062,0.68729,0.52512,0.41865,0.70988,6.3591,1.08532,0.00970148,0.00970148,0.00970148
5,3056.66,0.22866,3.98994,0.97318,0.40697,0.76665,0.54799,0.47372,0.53251,4.3359,0.89536,0.00947348,0.00947348,0.00947348
6,3244.05,0.20544,3.85466,0.96031,0.39053,0.6518,0.47908,0.40657,0.51,7.02647,0.7819,0.00918566,0.00918566,0.00918566
7,3430.03,0.1931,3.79076,0.95487,0.50566,0.81101,0.60851,0.56077,0.38749,3.90569,0.67,0.00884192,0.00884192,0.00884192
8,3613.3,0.18083,3.6728,0.9481,0.39418,0.75456,0.52697,0.41831,0.53569,5.45171,0.70298,0.0084469,0.0084469,0.0084469
9,3800.57,0.17155,3.61741,0.94497,0.39176,0.71651,0.52539,0.46422,0.47119,4.46417,0.74518,0.00800594,0.00800594,0.00800594
10,3989.32,0.16389,3.54427,0.93841,0.61277,0.78438,0.65519,0.60681,0.399,3.50483,0.63042,0.007525,0.007525,0.007525
11,4179.61,0.15119,3.46603,0.93141,0.5484,0.74786,0.64392,0.56673,0.47839,3.7349,0.75446,0.00701059,0.00701059,0.00701059
12,4369.62,0.15155,3.37535,0.93062,0.5969,0.74495,0.634,0.58803,0.3946,3.98288,0.59861,0.00646968,0.00646968,0.00646968
13,4554.96,0.14039,3.07531,0.98998,0.68044,0.76759,0.69596,0.64948,0.36865,3.26416,0.60685,0.00590956,0.00590956,0.00590956
14,4733.73,0.11266,2.8547,0.96109,0.66077,0.76838,0.68011,0.65255,0.35674,3.2353,0.56231,0.00533782,0.00533782,0.00533782
15,4912.8,0.11198,2.80249,0.9594,0.68244,0.78008,0.71108,0.69508,0.34622,3.08484,0.52947,0.00476218,0.00476218,0.00476218
16,5088.55,0.09981,2.71611,0.95325,0.70385,0.77228,0.71649,0.6973,0.35127,3.05606,0.53175,0.00419044,0.00419044,0.00419044
17,5267.17,0.09412,2.66609,0.94958,0.68714,0.74825,0.72836,0.70264,0.32035,3.4504,0.51316,0.00363032,0.00363032,0.00363032
18,5445.54,0.08646,2.53948,0.94237,0.70484,0.76829,0.72839,0.71385,0.33218,3.174,0.50063,0.00308941,0.00308941,0.00308941
19,5625.75,0.08254,2.47605,0.94037,0.76035,0.744,0.73917,0.72166,0.33239,2.9273,0.50948,0.002575,0.002575,0.002575
20,5807.04,0.07846,2.40352,0.93595,0.72425,0.78171,0.73773,0.72866,0.31276,2.93002,0.44604,0.00209406,0.00209406,0.00209406
21,5987.22,0.08057,2.38823,0.94133,0.76278,0.77155,0.75805,0.74276,0.32594,2.82372,0.48862,0.0016531,0.0016531,0.0016531
22,6167.36,0.07081,2.28391,0.93477,0.76772,0.78276,0.75919,0.72026,0.36185,2.80675,0.53737,0.00125808,0.00125808,0.00125808
23,6349.37,0.06983,2.23299,0.93244,0.75396,0.78942,0.76312,0.75237,0.31773,2.81609,0.47517,0.000914335,0.000914335,0.000914335
24,6528.51,0.06591,2.20751,0.93081,0.75322,0.78591,0.76547,0.75273,0.31807,2.91609,0.46638,0.000626518,0.000626518,0.000626518
25,6706.5,0.06629,2.18398,0.93121,0.76613,0.78119,0.76813,0.76052,0.31951,2.80118,0.47489,0.000398522,0.000398522,0.000398522
26,6882.99,0.06392,2.11377,0.93024,0.77205,0.78205,0.77214,0.75869,0.32493,2.84521,0.48795,0.000233428,0.000233428,0.000233428
27,7063.2,0.06376,2.12607,0.93008,0.76754,0.78351,0.77319,0.76119,0.31834,2.83746,0.4785,0.00013347,0.00013347,0.00013347
