epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3010.08,0.36652,5.28816,1.08003,0.37696,0.72068,0.4393,0.37963,0.51795,5.67465,0.99458,0.00332606,0.00332606,0.0700655
2,3210.06,0.32686,4.61739,1.04709,0.16701,0.44096,0.16888,0.08639,1.35858,10.6128,2.17514,0.00664446,0.00664446,0.0400506
3,3412.23,0.28876,4.35292,1.01107,0.29134,0.62975,0.39693,0.28671,0.59981,7.61893,0.83693,0.00990333,0.00990333,0.00997611
4,3614.6,0.25153,4.11683,0.98411,0.39104,0.6905,0.49742,0.43207,0.50827,5.54327,0.86773,0.00979949,0.00979949,0.00979949
5,3818.76,0.2221,3.96815,0.96956,0.3864,0.80384,0.58137,0.51376,0.45596,4.40176,0.72752,0.00964542,0.00964542,0.00964542
6,4020.09,0.19889,3.84208,0.96001,0.4065,0.74177,0.52392,0.4879,0.35634,4.92832,0.60919,0.00944974,0.00944974,0.00944974
7,4227.31,0.19044,3.78557,0.95257,0.3817,0.72174,0.50073,0.28469,0.94842,8.15013,1.4294,0.0092142,0.0092142,0.0092142
8,4432.76,0.18323,3.68828,0.94873,0.39779,0.71813,0.52341,0.40142,0.57613,5.16203,0.78324,0.00894096,0.00894096,0.00894096
9,4639.49,0.17364,3.63002,0.94205,0.54359,0.77813,0.59796,0.52499,0.46668,4.0149,0.71566,0.00863248,0.00863248,0.00863248
10,4845.93,0.16271,3.53878,0.93629,0.48651,0.74096,0.59537,0.48388,0.50879,4.35795,0.74993,0.00829156,0.00829156,0.00829156
11,5050.64,0.15832,3.50999,0.93288,0.48346,0.81396,0.63176,0.59068,0.39514,3.88968,0.67168,0.00792128,0.00792128,0.00792128
12,5255.65,0.14717,3.38886,0.92857,0.5548,0.75615,0.62721,0.53038,0.51537,4.22001,0.75812,0.007525,0.007525,0.007525
13,5462.15,0.1414,3.33916,0.93041,0.4932,0.72146,0.6287,0.5495,0.46,3.76767,0.72378,0.0071063,0.0071063,0.0071063
14,5666.09,0.13934,3.28207,0.92903,0.42434,0.69818,0.56446,0.46368,0.49124,4.54337,0.73,0.00666899,0.00666899,0.00666899
15,5868.24,0.13362,3.23817,0.92181,0.63098,0.77107,0.66553,0.61675,0.39658,3.57862,0.6164,0.00621701,0.00621701,0.00621701
16,6073.05,0.12116,3.17386,0.92011,0.66903,0.75808,0.69328,0.65161,0.3612,3.24674,0.56412,0.00575446,0.00575446,0.00575446
17,6275.25,0.12625,3.12658,0.92173,0.67367,0.76062,0.71068,0.6603,0.3808,3.28628,0.59792,0.00528553,0.00528553,0.00528553
18,6476.91,0.11755,3.06145,0.91849,0.68885,0.74445,0.69667,0.64891,0.39717,3.25033,0.60127,0.00481447,0.00481447,0.00481447
19,6671.95,0.10858,2.74644,0.9654,0.65509,0.79349,0.71128,0.68043,0.34962,3.43021,0.54176,0.00434554,0.00434554,0.00434554
20,6865.23,0.09369,2.56418,0.94828,0.73077,0.77597,0.74216,0.72636,0.34313,2.97674,0.51285,0.00388299,0.00388299,0.00388299
21,7059.13,0.10218,2.51042,0.95257,0.70467,0.78386,0.74264,0.70703,0.32983,3.2039,0.53412,0.00343101,0.00343101,0.00343101
22,7251.4,0.08861,2.45049,0.95027,0.70999,0.81503,0.75404,0.72757,0.31501,3.031,0.48876,0.0029937,0.0029937,0.0029937
23,7444.82,0.08423,2.36572,0.94384,0.73747,0.78142,0.75888,0.74039,0.31174,3.03446,0.48874,0.002575,0.002575,0.002575
24,7637.29,0.07999,2.27749,0.93704,0.74736,0.7886,0.75962,0.75101,0.30217,2.84788,0.45168,0.00217872,0.00217872,0.00217872
25,7839.4,0.08078,2.25408,0.94046,0.76318,0.77772,0.76708,0.7489,0.30324,3.09583,0.45563,0.00180844,0.00180844,0.00180844
26,8040.79,0.07859,2.21308,0.94068,0.75984,0.79925,0.77053,0.75063,0.33028,3.00507,0.50457,0.00146752,0.00146752,0.00146752
27,8237.74,0.07271,2.13914,0.93539,0.76382,0.79597,0.76886,0.74689,0.32154,2.81178,0.48515,0.00115904,0.00115904,0.00115904
28,8438.63,0.07142,2.11127,0.93347,0.76621,0.79448,0.7793,0.75985,0.3272,2.78913,0.49458,0.000885795,0.000885795,0.000885795
29,8637.55,0.0718,2.09728,0.93376,0.77055,0.7996,0.78185,0.761,0.32172,2.78618,0.48424,0.000650265,0.000650265,0.000650265
30,8842,0.06853,2.04967,0.93456,0.77856,0.77771,0.78445,0.7619,0.31394,2.80372,0.47278,0.000454579,0.000454579,0.000454579
31,9038.12,0.06519,2.00764,0.93169,0.78865,0.77164,0.78258,0.76147,0.31871,2.8125,0.47803,0.00030051,0.00030051,0.00030051
32,9233.47,0.06551,2.00487,0.93182,0.77319,0.79047,0.78345,0.76201,0.31548,2.82763,0.47448,0.000189453,0.000189453,0.000189453
33,9433.46,0.06409,1.98972,0.9302,0.77121,0.79456,0.78288,0.75991,0.31665,2.82115,0.47871,0.000122414,0.000122414,0.000122414
