epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.8694,3.17556,12.411,2.34368,0.00061,0.09451,0.00042,0.00011,3.57025,11.1113,2.73983,0.00018,0.00018,0.08218
2,92.8331,2.82145,10.2972,2.1576,0.05104,0.24322,0.05729,0.02318,3.44066,10.5169,2.43596,0.000369639,0.000369639,0.0633696
3,109.064,2.84668,9.52408,2.1778,0.00497,0.50653,0.09066,0.03337,3.12876,10.1639,2.41814,0.000557814,0.000557814,0.0445578
4,127.614,2.79341,9.13315,2.14989,0.75422,0.12675,0.18393,0.05833,3.02252,9.27574,2.37741,0.000743424,0.000743424,0.0257434
5,143.134,2.71531,9.09001,2.12838,0.61947,0.10204,0.06974,0.01612,3.01846,9.8801,2.58125,0.000925382,0.000925382,0.00692538
6,159.64,2.77132,8.70282,2.16624,0.55448,0.18367,0.05601,0.01362,3.12841,12.4301,2.79552,0.000975773,0.000975773,0.000975773
7,176.616,2.80329,8.78876,2.14261,0.72001,0.13638,0.12084,0.03156,3.14057,10.2877,2.55833,0.000965239,0.000965239,0.000965239
8,192.538,2.7528,8.35342,2.15386,0.42369,0.26409,0.16904,0.04814,3.01937,11.0103,2.43807,0.000952889,0.000952889,0.000952889
9,208.103,2.72037,8.27977,2.07505,0.82698,0.21429,0.25013,0.07273,2.98501,14.6723,2.39855,0.000938772,0.000938772,0.000938772
10,224.262,2.64318,8.01151,2.02845,0.72036,0.2449,0.19164,0.05899,2.94939,12.6961,2.34049,0.000922942,0.000922942,0.000922942
11,239.975,2.67397,8.08782,2.06138,0.71549,0.23469,0.22344,0.06964,2.89267,8.4127,2.25615,0.000905463,0.000905463,0.000905463
12,256.404,2.58217,7.75599,1.99741,0.29854,0.21933,0.18673,0.05404,2.99889,10.1636,2.35224,0.000886404,0.000886404,0.000886404
13,272.651,2.66408,7.53872,1.96696,0.27485,0.23152,0.19327,0.05743,2.99967,13.2772,2.28485,0.000865839,0.000865839,0.000865839
14,289.007,2.55276,7.95011,2.00995,0.21925,0.26425,0.16832,0.04765,2.99075,12.4229,2.37816,0.000843851,0.000843851,0.000843851
15,306.111,2.51573,7.55682,1.97172,0.27993,0.2449,0.2277,0.08409,2.97477,8.20278,2.34706,0.000820525,0.000820525,0.000820525
16,321.401,2.54745,7.43638,1.96859,0.32828,0.37015,0.2778,0.09446,2.91511,9.15378,2.23762,0.000795954,0.000795954,0.000795954
17,338.142,2.55773,7.49454,1.96952,0.415,0.32852,0.3284,0.09902,2.87778,9.90294,2.19859,0.000770234,0.000770234,0.000770234
18,352.488,2.55328,7.21603,1.95998,0.31042,0.30079,0.28548,0.09176,2.88622,8.86288,2.25989,0.000743468,0.000743468,0.000743468
